book_id,isbn,title,authors,publisher,published_year,genre,description,cover_image_url,lang
B00771,9781460000000.0,David Crockett,John S. C. Abbott,CreateSpace Independent Publishing Platform,2022,Fiction; Biography; Music; Nonfiction,"Following the life of David Crockett, his hardships and triumphs. From brushes with bears to romance, this book is an adventure in to the early 19th century America. Possibly, the best known hero and noted hunter in Tennessee, David Crockett was a celebrated hero, warrior and backwoodsman who died at the Alamo. Please Note: This book is in easy to read true text, not scanned images that can sometimes be difficult to decipher. This eBook has bookmarks at chapter headings and is printable.",https://covers.openlibrary.org/b/id/1754654-L.jpg,en
B00352,9789500000000.0,La Peste,Albert Camus,"Sudamericana, Editorial Sudmericana",2022,Fiction; Philosophy; Medicine,"The Plague (French: La Peste) is a novel by Albert Camus, published in 1947, that tells the story of a plague sweeping the French Algerian city of Oran. It asks a number of questions relating to the nature of destiny and the human condition. The characters in the book, ranging from doctors to vacationers to fugitives, all help to show the effects the plague has on a populace.",https://covers.openlibrary.org/b/id/13151272-L.jpg,en
B00764,9798490000000.0,Free air,Sinclair Lewis,Sinclair Lewis,2022,Fiction,"Free Air heads toward a West that was brimming with possibilities for suddenly mobile Americans at the end of a world war. The vehicle in Lewis's novel, not a Model T but a Gomez-Dep roadster, takes Claire Boltwood and her father from Minnesota to Seattle, exposing them all to the perils of early motoring.",https://covers.openlibrary.org/b/id/6261477-L.jpg,en
B00321,9780440000000.0,Giovanni's Room,James Baldwin,Dell,2024,Fiction; Psychology,"Considered an 'audacious' second novel, GIOVANNI'S ROOM is set in the 1950s Paris of American expatriates, liaisons, and violence. This now-classic story of a fated love triangle explores, with uncompromising clarity, the conflicts between desire, conventional morality and sexual identity.",https://covers.openlibrary.org/b/id/97395-L.jpg,en
B00608,9782330000000.0,Less,Andrew Sean Greer,ACTES SUD,2022,Fiction; Travel,"Receiving an invitation to his ex-boyfriend's wedding, Arthur, a failed novelist on the eve of his fiftieth birthday, embarks on an international journey that finds him falling in love, risking his life, reinventing himself, and making connections with the past.",https://covers.openlibrary.org/b/id/8596367-L.jpg,en
B00692,9780680000000.0,The Life and Adventures of Nicholas Nickleby,Charles Dickens,Longmeadow Press,2022,Fiction,"Nicholas Nickleby is left responsible for his mother and sister when his father dies. The novel follows his attempt to succeed in supporting them, despite his uncle Ralph's antagonistic lack of belief in him. It is one of Dickens' early comic novels.",https://covers.openlibrary.org/b/id/9283905-L.jpg,en
B00695,9781530000000.0,Dork Diaries 15,Rachel RenÃ©e Russell,Simon & Schuster Childrenâs Publishing,2023,Children; Fiction; Travel,"Nikki Maxwell deals with the trials and triumphs of middle school in this fifteenth installment of the #1 New York Times bestselling Dork Diaries series!Ooh la la! Nikki Maxwell and her band are on their way to Paris, but they run into some roadblocks on the wayâ¦ And Nikki's French skills may not be as reliable as she hoped! Can she get them moving again in time to reach their destination?",https://covers.openlibrary.org/b/id/10207307-L.jpg,en
B00671,9781450000000.0,The Island of Adventure,Enid Blyton,Macmillan Children's Books,2021,Children; Fiction,"For Philip, Dinah, Lucy-Ann, Jack and Kiki the parrot, the summer holidays in Cornwall are everything they'd hoped for. Until they begin to realize that something very sinister is taking place on the mysterious Isle of Gloom - where a dangerous adventure awaits them in the abandoned copper mines and secret tunnels beneath the sea.",https://covers.openlibrary.org/b/id/14596605-L.jpg,en
B00691,9781450000000.0,The River of Adventure,Enid Blyton,Macmillan Children's Books,2021,Children; Fiction,"A river cruise through ancient desert lands will be an adventure in itself, think Philip, Dinah, Lucy-Ann, and Jack. An adventure it certainly is, especially when Bill disappears and the children, along with Kiki the parrot, are trapped beneath a forgotten temple where no one has set foot for 7,000 years.",https://covers.openlibrary.org/b/id/14603095-L.jpg,en
B00675,9783420000000.0,The Castle of Adventure,Enid Blyton,Deutscher Taschenbuch Verlag,2022,Children; Fiction,"Lucy-Ann, Jack, Dinah, and Philip spend the holidays in a cottage near a strange, deserted castle, and find themselves in the midst of another adventure, involving a torch flashing at night and men at work in the depths of the castle.",https://covers.openlibrary.org/b/id/14596540-L.jpg,en
B00678,9780330000000.0,The Valley of Adventure,Enid Blyton,Piccolo Books,2021,Children; Fiction,"Dinah, Philip, Jack and Lucy-Ann get on the wrong plane at an airport, and are embarked on another adventure, in a deserted valley surrounded by high mountains, where the men from the plane seem to be hunting a treasure.",https://covers.openlibrary.org/b/id/14596582-L.jpg,en
B00696,9781090000000.0,"The little white bird, or, Adventures in Kensington gardens",J. M. Barrie,J. M. Barrie,2022,Children; Fiction,"A few chapters of this story introduced Peter Pan to the reading public. His chapters (13-18) were later published as ""Peter Pan in Kensington Gardens.""",https://covers.openlibrary.org/b/id/2808666-L.jpg,en
